,Aka,Babongo,Baka,Bakola,Bakoya,Batwa (East),Bedzan,Efe,Mbendjele,Sua
Aka,0,0.006148188,0.001828521,0.003009076,0.00229501,0.03145386,0.01183003,0.01472217,0,0.01472217
Babongo,0.006148188,0,0.01434566,0.01145854,0.01216995,0.03195924,0.02263618,0.01895501,0.006148188,0.01895501
Baka,0.001828521,0.01434566,0,0.01478564,0.01569744,0.04122203,0.02532532,0.02994044,0.001828521,0.02994044
Bakola,0.003009076,0.01145854,0.01478564,0,0.003176816,0.03872101,0.01680603,0.02244534,0.003009076,0.02244534
Bakoya,0.00229501,0.01216995,0.01569744,0.003176816,0,0.03818137,0.01676864,0.02082026,0.00229501,0.02082026
Batwa (East),0.03145386,0.03195924,0.04122203,0.03872101,0.03818137,0,0.04614687,0.01346262,0.03145386,0.01346262
Bedzan,0.01183003,0.02263618,0.02532532,0.01680603,0.01676864,0.04614687,0,0.02912993,0.01183003,0.02912993
Efe,0.01472217,0.01895501,0.02994044,0.02244534,0.02082026,0.01346262,0.02912993,0,0.01472217,0
Mbendjele,0,0.006148188,0.001828521,0.003009076,0.00229501,0.03145386,0.01183003,0.01472217,0,0.01472217
Sua,0.01472217,0.01895501,0.02994044,0.02244534,0.02082026,0.01346262,0.02912993,0,0.01472217,0