,ndumu,ngom,hindehu,ngombi,bogongo,ligbebe,soko,baka,mbanda,mobio,ruma,sanze,ashaka,kubu,mokinda,kembe,mbe,engbiti,gongo,ngindi,beka,pole.pole
Aka,1,,1,1,1,1,1,,1,1,,1,1,1,1,,,1,,1,1,1
Babongo,,1,,1,,,1,1,,,,1,,,,,,,1,,1,
Baka,1,,1,1,1,1,1,,,1,,,1,1,1,1,,1,1,,,1
Bakola,,1,,,,,,1,,,,,,,,,1,,,,,
Bakoya,1,1,,,,,1,,,,,,,,,,,,,1,,
Batwa (East),,,,,,,,,,,,,,,,1,,,,,,
Batwa (West),,1,,1,,,,,,,,,,,,,,,,,,
Bedzan,,,,,,,,,,,,,,,,,1,,,,,
Efe,,,,,,1,,,,,1,,,,,1,,,,,,
Mbendjele,,,,,,,,,,,,,,,,,,,,,,
Sua,,,,,,,,,1,,1,,,,,1,,,,,,